aug_id,mean_gain,median_gain,help_rate,hurt_rate,p05_gain,p90_gain,p95_gain,p99_gain,augmentation_name,transform_class,selection_frequency,oracle_frequency,global_weight,class_mean_weight,class_active_frequency,help_minus_hurt_rate,global_weight_rank,mean_gain_rank
aug_007,-0.002887732563990578,-3.5762815e-07,0.41908,0.52212,-0.8813995524999999,0.314858554,0.8611747249999998,2.215484660999995,rotate_plus_5,Rotate,0.0,0.1892,0.0010745394,0.010718741,1.0,-0.10304000000000002,41,18
aug_028,-0.0014981366509440076,0.0,0.43864,0.4968,-0.710023615,0.24549923800000045,0.6973158774999995,1.7904059759999789,shear_y_minus_5,Affine,0.0002,0.2074,0.00095904706,0.009953511,1.0,-0.058160000000000045,42,10
aug_053,-0.0194806453780202,-2.384187e-07,0.39532,0.51836,-0.5988650325,0.144255932,0.4730385084999998,1.4001119559999953,hue_plus_5,HueSaturationValue,0.493,0.1766,0.00085664645,0.0074626426,1.0,-0.12304000000000004,43,50
aug_091,-0.1417100773597412,-7.820622e-05,0.30284,0.65944,-2.1376510449999997,0.3507472500000001,1.2103628099999988,3.6146108699999826,jpeg_quality_30,ImageCompression,0.1004,0.1558,0.0008350774,0.012928346,1.0,-0.35660000000000003,44,77
aug_085,-0.04876336466308899,-1.1920963e-06,0.39644,0.54584,-1.0597227749999998,0.21065380100000067,0.7083939139999998,2.0727704659999993,sharpen_light,Sharpen,0.2538,0.2124,0.0007880303,0.013042174,1.0,-0.14939999999999998,45,61
aug_084,-0.6576664465202048,-0.0190098185,0.1898,0.7956,-4.44706372,0.2346862080000015,1.5053111249999984,4.931298766999992,defocus_radius_5,Defocus,0.0,0.1128,0.0006633832,0.007854306,1.0,-0.6058,46,93
aug_099,-0.2328853854893995,-0.000779834195,0.23956,0.73004,-2.7483171099999995,0.3462134700000015,1.3704667549999987,4.101727489999986,ringing_overshoot_light,RingingOvershoot,0.0088,0.1486,0.0006204998,0.004413683,1.0,-0.49048,47,85
aug_096,-0.15037142606965598,-0.000252627145,0.26216,0.7024,-2.1874731699999996,0.3515931720000006,1.2941199949999995,3.6692335169999977,downscale_040_area_linear,Downscale,0.43,0.1166,0.00060588936,0.0061646947,1.0,-0.44024,48,78
aug_026,-0.007035779204609745,0.0,0.43956,0.49552,-0.7148282235,0.2198947570000005,0.6471664679999991,1.7490171629999915,shear_x_minus_5,Affine,0.0264,0.1966,0.00060069107,0.009501871,1.0,-0.05596000000000001,49,32
aug_074,-0.2028999053332938,-0.0005197804300000001,0.24692,0.72208,-2.543533235,0.33194275400000073,1.3252115799999988,3.9330268439999974,blur_5,Blur,0.035,0.12,0.00058927893,0.004459564,1.0,-0.47516,50,83
aug_077,-0.1870415800990856,-0.00043378647999999995,0.252,0.71584,-2.4205615849999997,0.33702736000000066,1.3342105399999997,3.9005418649999988,gaussian_blur_sigma_15,GaussianBlur,0.0234,0.1188,0.0005266442,0.003960839,1.0,-0.46384000000000003,51,80
aug_083,-0.23666624907102887,-0.0007863978200000001,0.2394,0.73172,-2.711123745,0.33157022400000097,1.388625089999999,4.102007743999994,defocus_radius_3,Defocus,0.0336,0.1154,0.0004964729,0.0053846096,1.0,-0.49232000000000004,52,86
aug_032,-0.05954662927997968,-3.3378739e-06,0.3732,0.5706,-1.07965093,0.21062258400000025,0.7207054229999993,2.0707786189999964,brightness_minus_20,RandomBrightnessContrast,0.3306,0.2014,0.00048826795,0.009418935,1.0,-0.19740000000000002,53,64
aug_057,-0.015978432791773294,-1.1920935e-07,0.40632,0.5088,-0.5866856635,0.15197111200000005,0.4793773139999999,1.4338106799999966,saturation_plus_30,HueSaturationValue,0.0318,0.1602,0.00048673197,0.0077536507,1.0,-0.10248000000000002,54,45
aug_043,-0.007006275298588595,0.0,0.43192,0.48232,-0.3124953735,0.08996306060000002,0.2635563914999998,0.703964230599998,gamma_120,RandomGamma,0.0,0.1464,0.00047205508,0.0050137043,1.0,-0.0504,55,31
